idade,genero,escolaridade,renda_anual,experiencia_profissional_anos,tipo_moradia,valor_emprestimo,finalidade_emprestimo,taxa_juros_emprestimo,percentual_renda_comprometida,historico_credito_anos,score_credito,inadimplencia_anterior,status_emprestimo
22,feminino,mestrado,71948.0,0,aluguel,35000.0,pessoal,16.02,0.49,3,561,nao,aprovado
21,feminino,ensino_medio,12282.0,0,propria,1000.0,educacao,11.14,0.08,2,504,sim,negado
25,feminino,ensino_medio,12438.0,3,financiada,5500.0,saude,12.87,0.44,3,635,nao,aprovado
23,feminino,graduacao,79753.0,0,aluguel,35000.0,saude,15.23,0.44,2,675,nao,aprovado
24,masculino,mestrado,66135.0,1,aluguel,35000.0,saude,14.27,0.53,4,586,nao,aprovado
21,feminino,ensino_medio,12951.0,0,propria,2500.0,empreendimento,7.14,0.19,2,532,nao,aprovado
26,feminino,graduacao,93471.0,1,aluguel,35000.0,educacao,12.42,0.37,3,701,nao,aprovado
24,feminino,ensino_medio,95550.0,5,aluguel,35000.0,saude,11.11,0.37,4,585,nao,aprovado
24,feminino,tecnologo,100684.0,3,aluguel,35000.0,pessoal,8.9,0.35,2,544,nao,aprovado
21,feminino,ensino_medio,12739.0,0,propria,1600.0,empreendimento,14.74,0.13,3,640,nao,aprovado
22,feminino,ensino_medio,102985.0,0,aluguel,35000.0,empreendimento,10.37,0.34,4,621,nao,aprovado
21,feminino,tecnologo,13113.0,0,propria,4500.0,reforma_residencial,8.63,0.34,2,651,nao,aprovado
23,masculino,graduacao,114860.0,3,aluguel,35000.0,empreendimento,7.9,0.3,2,573,nao,aprovado
26,masculino,mestrado,130713.0,0,aluguel,35000.0,educacao,18.39,0.27,4,708,nao,aprovado
23,feminino,tecnologo,138998.0,0,aluguel,35000.0,educacao,7.9,0.25,4,583,nao,negado
23,feminino,mestrado,600891.0,5,financiada,30000.0,consolidacao_dividas,10.65,0.05,3,670,sim,negado
23,masculino,graduacao,144943.0,0,aluguel,35000.0,educacao,7.9,0.24,4,663,nao,negado
23,feminino,ensino_medio,111369.0,0,aluguel,35000.0,saude,20.0,0.31,4,694,nao,aprovado
23,masculino,graduacao,136628.0,0,aluguel,35000.0,consolidacao_dividas,18.25,0.26,4,709,nao,aprovado
24,feminino,mestrado,14283.0,1,financiada,1750.0,educacao,10.99,0.12,2,679,nao,aprovado
25,masculino,graduacao,195718.0,0,aluguel,35000.0,empreendimento,7.49,0.18,4,684,sim,negado
25,masculino,ensino_medio,165792.0,4,aluguel,34800.0,pessoal,16.77,0.21,2,662,nao,negado
22,feminino,mestrado,79255.0,0,aluguel,34000.0,educacao,17.58,0.43,4,691,nao,aprovado
24,feminino,graduacao,13866.0,0,propria,1500.0,pessoal,7.29,0.11,3,600,sim,negado
22,masculino,graduacao,97420.0,1,aluguel,33950.0,pessoal,14.54,0.35,4,691,nao,aprovado
24,feminino,ensino_medio,82443.0,0,aluguel,33000.0,reforma_residencial,12.68,0.4,3,654,nao,aprovado
21,feminino,tecnologo,14288.0,0,financiada,4575.0,empreendimento,17.74,0.32,3,626,nao,aprovado
23,masculino,ensino_medio,14293.0,0,propria,1400.0,pessoal,9.32,0.1,3,607,nao,negado
24,feminino,graduacao,79054.0,1,aluguel,32500.0,reforma_residencial,9.99,0.41,3,700,nao,aprovado
21,feminino,graduacao,14988.0,0,outro,4000.0,educacao,12.84,0.27,2,553,nao,aprovado
21,masculino,ensino_medio,14858.0,0,propria,2000.0,saude,11.12,0.13,3,589,nao,aprovado
25,masculino,graduacao,144855.0,1,aluguel,32000.0,empreendimento,6.62,0.22,2,586,sim,negado
26,masculino,graduacao,114645.0,2,aluguel,31050.0,reforma_residencial,14.17,0.27,3,681,nao,aprovado
25,feminino,ensino_medio,368115.0,3,aluguel,24250.0,consolidacao_dividas,13.85,0.07,3,567,sim,negado
26,feminino,tecnologo,361076.0,1,financiada,7800.0,saude,13.49,0.02,4,669,nao,negado
21,masculino,tecnologo,15150.0,0,propria,2500.0,educacao,7.51,0.17,4,600,nao,aprovado
22,feminino,graduacao,58868.0,0,aluguel,30000.0,educacao,18.39,0.51,2,606,nao,aprovado
24,masculino,ensino_medio,78026.0,3,aluguel,30000.0,consolidacao_dividas,14.54,0.38,3,582,nao,aprovado
25,masculino,graduacao,90785.0,4,aluguel,30000.0,reforma_residencial,16.89,0.33,4,649,nao,aprovado
23,feminino,ensino_medio,86811.0,0,aluguel,30000.0,consolidacao_dividas,11.01,0.35,4,602,nao,aprovado
26,masculino,graduacao,75503.0,5,aluguel,30000.0,saude,17.99,0.4,2,616,nao,aprovado
24,feminino,ensino_medio,15082.0,0,propria,2500.0,empreendimento,12.69,0.17,3,631,nao,aprovado
26,masculino,graduacao,361293.0,5,financiada,20000.0,empreendimento,7.88,0.06,4,684,sim,negado
23,masculino,ensino_medio,361547.0,0,propria,24250.0,educacao,19.41,0.07,2,637,sim,negado
26,masculino,mestrado,360680.0,5,propria,10000.0,reforma_residencial,10.38,0.03,4,649,nao,negado
26,masculino,graduacao,360977.0,5,financiada,25000.0,educacao,15.33,0.07,3,695,sim,negado
25,feminino,graduacao,361244.0,2,financiada,18000.0,reforma_residencial,16.45,0.05,3,620,nao,negado
26,masculino,graduacao,98230.0,2,aluguel,30000.0,pessoal,7.49,0.31,3,622,nao,aprovado
22,feminino,ensino_medio,80838.0,0,aluguel,30000.0,saude,12.69,0.37,3,645,nao,aprovado
26,masculino,mestrado,107957.0,2,aluguel,30000.0,consolidacao_dividas,6.62,0.28,3,654,nao,aprovado
24,feminino,graduacao,94649.0,2,aluguel,30000.0,consolidacao_dividas,11.01,0.32,4,624,nao,aprovado
23,masculino,ensino_medio,94550.0,1,aluguel,30000.0,consolidacao_dividas,18.62,0.32,3,570,nao,aprovado
23,masculino,graduacao,111153.0,3,aluguel,30000.0,pessoal,15.23,0.27,3,648,nao,aprovado
23,feminino,tecnologo,117250.0,0,aluguel,30000.0,empreendimento,10.65,0.26,2,652,nao,aprovado
25,masculino,graduacao,144985.0,3,aluguel,30000.0,educacao,7.9,0.21,4,559,nao,negado
26,masculino,ensino_medio,337133.0,7,aluguel,10000.0,pessoal,15.96,0.03,3,623,sim,negado
26,masculino,tecnologo,333566.0,2,aluguel,20000.0,empreendimento,11.48,0.06,3,602,sim,negado
23,masculino,graduacao,333399.0,1,propria,35000.0,pessoal,11.01,0.1,4,609,nao,negado
25,masculino,mestrado,154793.0,1,aluguel,30000.0,pessoal,7.29,0.19,4,573,sim,negado
24,masculino,tecnologo,15229.0,1,propria,1750.0,empreendimento,11.01,0.11,3,631,sim,negado
21,feminino,graduacao,158338.0,0,aluguel,30000.0,empreendimento,5.99,0.19,4,623,sim,negado
22,feminino,graduacao,331034.0,0,propria,12000.0,empreendimento,11.58,0.04,2,602,sim,negado
26,feminino,ensino_medio,316466.0,6,financiada,10000.0,educacao,11.01,0.03,4,579,nao,aprovado
25,feminino,tecnologo,267671.0,0,financiada,25000.0,saude,15.7,0.09,2,582,nao,aprovado
22,masculino,mestrado,85191.0,0,aluguel,29100.0,educacao,15.99,0.34,3,700,nao,aprovado
22,masculino,tecnologo,15013.0,0,financiada,1500.0,educacao,14.84,0.1,3,688,nao,negado
26,masculino,graduacao,313100.0,3,propria,28000.0,reforma_residencial,10.99,0.09,3,607,sim,negado
25,feminino,graduacao,311952.0,0,financiada,20000.0,reforma_residencial,14.42,0.06,2,661,sim,negado
24,masculino,ensino_medio,306897.0,5,financiada,9600.0,educacao,6.99,0.03,2,562,sim,negado
25,feminino,graduacao,301136.0,0,aluguel,25000.0,saude,13.49,0.08,4,664,sim,negado
25,masculino,ensino_medio,15162.0,1,propria,3000.0,saude,11.01,0.2,3,564,nao,aprovado
22,masculino,tecnologo,69042.0,0,aluguel,28000.0,saude,11.01,0.41,2,598,nao,aprovado
21,feminino,ensino_medio,15307.0,0,propria,3000.0,educacao,13.61,0.2,3,557,nao,aprovado
23,feminino,tecnologo,79183.0,0,aluguel,28000.0,educacao,7.9,0.35,2,677,nao,aprovado
26,masculino,graduacao,102654.0,4,aluguel,28000.0,empreendimento,7.49,0.27,3,690,nao,aprovado
26,masculino,tecnologo,15229.0,1,propria,6100.0,educacao,7.51,0.4,3,599,nao,aprovado
22,masculino,ensino_medio,106566.0,0,aluguel,28000.0,empreendimento,9.91,0.26,3,604,nao,aprovado
21,feminino,graduacao,15252.0,0,propria,4200.0,pessoal,13.48,0.28,4,663,nao,aprovado
22,masculino,graduacao,15432.0,3,propria,4750.0,consolidacao_dividas,7.14,0.31,2,601,nao,aprovado
24,masculino,ensino_medio,100332.0,1,aluguel,28000.0,empreendimento,15.99,0.28,4,634,nao,aprovado
24,masculino,graduacao,300951.0,2,aluguel,18000.0,educacao,12.98,0.06,3,671,nao,negado
95,masculino,graduacao,300616.0,79,aluguel,4800.0,empreendimento,13.57,0.02,3,789,nao,negado
25,feminino,graduacao,121062.0,1,aluguel,28000.0,consolidacao_dividas,12.69,0.23,3,622,nao,negado
26,masculino,tecnologo,133372.0,1,aluguel,28000.0,educacao,8.9,0.21,2,538,sim,negado
26,masculino,graduacao,15505.0,0,propria,2700.0,consolidacao_dividas,11.01,0.17,4,587,nao,aprovado
22,masculino,mestrado,130852.0,0,aluguel,28000.0,educacao,11.01,0.21,4,683,nao,aprovado
23,masculino,tecnologo,182316.0,0,aluguel,28000.0,consolidacao_dividas,11.11,0.15,2,634,sim,negado
24,feminino,graduacao,83853.0,3,aluguel,27600.0,reforma_residencial,11.01,0.33,2,690,nao,aprovado
21,feminino,graduacao,15394.0,0,financiada,3250.0,consolidacao_dividas,15.68,0.21,3,518,nao,aprovado
22,feminino,graduacao,85243.0,0,aluguel,27500.0,educacao,13.06,0.32,3,583,nao,aprovado
22,masculino,tecnologo,288907.0,2,propria,25000.0,pessoal,11.01,0.09,2,617,sim,negado
26,masculino,tecnologo,89074.0,4,aluguel,27050.0,empreendimento,15.62,0.3,2,668,nao,aprovado
24,masculino,mestrado,100509.0,2,aluguel,27000.0,pessoal,13.49,0.27,2,673,nao,aprovado
24,masculino,ensino_medio,88950.0,3,aluguel,27000.0,empreendimento,11.01,0.3,3,706,nao,aprovado
23,feminino,ensino_medio,75894.0,1,aluguel,26000.0,saude,11.71,0.34,2,536,nao,aprovado
23,masculino,tecnologo,145092.0,0,aluguel,25600.0,educacao,12.69,0.18,3,557,sim,negado
24,feminino,graduacao,15928.0,1,propria,1600.0,saude,13.57,0.1,3,689,sim,negado
22,masculino,graduacao,73131.0,3,aluguel,25475.0,empreendimento,10.99,0.35,3,681,nao,aprovado
25,masculino,mestrado,281501.0,4,financiada,20000.0,saude,14.27,0.07,4,623,sim,negado
24,feminino,tecnologo,281775.0,0,propria,20000.0,reforma_residencial,8.88,0.07,4,595,sim,negado
26,masculino,graduacao,281792.0,1,financiada,21600.0,reforma_residencial,12.18,0.08,3,584,sim,negado
25,masculino,graduacao,266090.0,4,financiada,11900.0,consolidacao_dividas,14.42,0.04,3,669,nao,aprovado
26,masculino,ensino_medio,279664.0,3,financiada,25000.0,saude,14.17,0.09,2,642,sim,negado
25,feminino,ensino_medio,277017.0,4,financiada,35000.0,saude,13.99,0.13,4,622,sim,negado
23,masculino,tecnologo,100756.0,0,aluguel,25300.0,educacao,10.99,0.25,3,689,nao,aprovado
22,masculino,ensino_medio,16218.0,1,financiada,2000.0,pessoal,5.42,0.12,4,614,nao,aprovado
25,feminino,graduacao,16211.0,2,propria,1750.0,pessoal,13.61,0.11,3,597,sim,negado
21,feminino,graduacao,51922.0,3,aluguel,25000.0,educacao,12.73,0.48,3,673,nao,aprovado
24,masculino,tecnologo,50309.0,3,aluguel,25000.0,reforma_residencial,11.01,0.5,3,625,nao,aprovado
25,masculino,ensino_medio,16378.0,0,propria,3000.0,consolidacao_dividas,12.87,0.18,4,603,nao,aprovado
24,masculino,graduacao,16572.0,0,financiada,3650.0,reforma_residencial,9.91,0.22,3,589,nao,aprovado
26,masculino,mestrado,272201.0,5,financiada,20000.0,reforma_residencial,11.49,0.07,4,670,sim,negado
25,feminino,graduacao,271324.0,3,financiada,30000.0,reforma_residencial,19.91,0.11,2,637,sim,negado
26,masculino,tecnologo,256862.0,2,financiada,35000.0,educacao,10.65,0.14,2,643,nao,aprovado
24,masculino,ensino_medio,271342.0,0,aluguel,6000.0,saude,11.01,0.02,4,508,sim,negado
24,masculino,ensino_medio,16470.0,2,financiada,4500.0,consolidacao_dividas,11.83,0.27,4,643,nao,aprovado
23,masculino,ensino_medio,16599.0,0,propria,2400.0,consolidacao_dividas,13.49,0.14,2,505,nao,aprovado
22,masculino,graduacao,51608.0,0,aluguel,25000.0,saude,14.59,0.48,2,593,nao,aprovado
26,feminino,mestrado,58516.0,6,aluguel,25000.0,educacao,9.64,0.43,4,686,nao,aprovado
25,feminino,tecnologo,16395.0,4,propria,3600.0,saude,14.59,0.22,3,646,nao,aprovado
22,feminino,graduacao,16890.0,0,propria,4750.0,educacao,11.01,0.28,3,645,nao,aprovado
25,feminino,tecnologo,51747.0,3,aluguel,25000.0,educacao,16.35,0.48,3,697,nao,aprovado
21,masculino,ensino_medio,59864.0,0,aluguel,25000.0,educacao,10.99,0.42,2,648,nao,aprovado
25,masculino,mestrado,270972.0,1,financiada,25000.0,empreendimento,18.67,0.09,2,640,sim,negado
26,masculino,graduacao,270870.0,5,aluguel,3000.0,educacao,9.32,0.01,4,681,nao,negado
23,feminino,tecnologo,270729.0,0,aluguel,7500.0,consolidacao_dividas,8.63,0.03,2,646,nao,negado
26,masculino,graduacao,270877.0,4,financiada,25000.0,empreendimento,10.08,0.09,2,615,sim,negado
22,masculino,tecnologo,60501.0,0,aluguel,25000.0,pessoal,11.83,0.41,3,687,nao,aprovado
23,masculino,ensino_medio,60754.0,1,aluguel,25000.0,consolidacao_dividas,7.9,0.41,3,650,nao,aprovado
25,masculino,graduacao,60829.0,0,aluguel,25000.0,reforma_residencial,5.99,0.41,2,588,nao,aprovado
24,masculino,graduacao,53825.0,2,aluguel,25000.0,consolidacao_dividas,15.33,0.46,2,652,nao,aprovado
23,masculino,ensino_medio,60801.0,0,aluguel,25000.0,empreendimento,11.83,0.41,4,658,nao,aprovado
22,masculino,ensino_medio,60747.0,0,aluguel,25000.0,empreendimento,10.36,0.41,2,634,nao,aprovado
22,feminino,ensino_medio,61029.0,0,aluguel,25000.0,empreendimento,12.23,0.41,3,623,nao,aprovado
22,feminino,tecnologo,63236.0,0,aluguel,25000.0,educacao,11.11,0.4,4,635,nao,aprovado
23,feminino,graduacao,17149.0,0,propria,4950.0,consolidacao_dividas,7.9,0.29,4,531,nao,aprovado
24,feminino,mestrado,265066.0,4,financiada,25000.0,educacao,11.58,0.09,2,665,sim,negado
23,masculino,tecnologo,260205.0,2,financiada,21000.0,consolidacao_dividas,8.9,0.08,3,703,nao,negado
25,feminino,tecnologo,260035.0,5,financiada,25000.0,educacao,16.07,0.1,3,585,sim,negado
26,feminino,graduacao,260444.0,4,financiada,20000.0,educacao,14.22,0.08,2,594,nao,negado
23,masculino,graduacao,258980.0,0,financiada,35000.0,saude,14.79,0.14,3,618,sim,negado
26,masculino,ensino_medio,259081.0,2,financiada,12000.0,educacao,7.88,0.05,2,626,sim,negado
23,masculino,ensino_medio,63497.0,0,aluguel,25000.0,pessoal,13.22,0.39,2,695,nao,aprovado
26,feminino,doutorado,56325.0,2,aluguel,25000.0,consolidacao_dividas,11.86,0.44,4,690,nao,aprovado
22,masculino,graduacao,64842.0,0,aluguel,25000.0,educacao,13.43,0.39,4,574,nao,aprovado
26,feminino,ensino_medio,57856.0,0,aluguel,25000.0,reforma_residencial,15.28,0.43,2,602,nao,aprovado
23,masculino,tecnologo,57318.0,0,aluguel,25000.0,empreendimento,17.93,0.44,2,679,nao,aprovado
23,feminino,ensino_medio,16916.0,2,financiada,1400.0,educacao,9.25,0.08,4,615,nao,negado
21,masculino,mestrado,16664.0,0,propria,4500.0,empreendimento,12.98,0.27,4,601,nao,aprovado
22,masculino,tecnologo,252803.0,0,financiada,16000.0,empreendimento,10.62,0.06,4,577,sim,negado
26,feminino,tecnologo,253061.0,3,propria,22000.0,pessoal,11.83,0.09,4,588,sim,negado
26,masculino,graduacao,58602.0,8,aluguel,25000.0,empreendimento,18.43,0.43,2,595,nao,aprovado
22,masculino,ensino_medio,67012.0,2,aluguel,25000.0,educacao,11.01,0.37,4,653,nao,aprovado
24,feminino,mestrado,66643.0,3,aluguel,25000.0,reforma_residencial,11.01,0.38,4,663,nao,aprovado
23,masculino,graduacao,66599.0,0,aluguel,25000.0,educacao,11.36,0.38,3,653,nao,aprovado
23,masculino,tecnologo,67212.0,2,aluguel,25000.0,educacao,15.65,0.37,3,598,nao,aprovado
24,feminino,ensino_medio,66918.0,1,aluguel,25000.0,pessoal,13.22,0.37,4,630,nao,aprovado
26,masculino,tecnologo,68066.0,2,aluguel,25000.0,consolidacao_dividas,12.87,0.37,2,637,nao,aprovado
24,masculino,tecnologo,245545.0,1,propria,20000.0,saude,13.04,0.08,3,660,sim,negado
23,masculino,tecnologo,229083.0,0,financiada,22000.0,educacao,17.58,0.1,3,639,nao,aprovado
23,masculino,ensino_medio,17859.0,0,propria,7750.0,pessoal,17.04,0.43,4,626,nao,aprovado
24,feminino,tecnologo,72608.0,3,aluguel,25000.0,pessoal,10.99,0.34,3,612,nao,aprovado
24,masculino,graduacao,73073.0,1,aluguel,25000.0,pessoal,11.11,0.34,3,628,nao,aprovado
26,feminino,mestrado,65880.0,2,aluguel,25000.0,consolidacao_dividas,14.83,0.38,2,592,nao,aprovado
23,masculino,ensino_medio,17755.0,1,propria,4000.0,consolidacao_dividas,11.01,0.23,3,580,nao,aprovado
